FMID,MarketName,Website,street,city,County,State,zip,x,y
1005969,"""Y Not Wednesday Farmers Market at Town Center""",http://www.sandlercenter.org/index/ynotwednesdays,"201 Market Street,",Virginia Beach,Virginia Beach,Virginia,23462,-76.135361,36.841885
1008044,10:10 Farmers Market,http://www.1010farmersmarket.com,5960 Stewart Parkway,Douglasville,Douglas,Georgia,30135,-84.7689,33.7196
1000618,100-Mile Market,http://www.peoplesfoodco-op.org/,507 Harrison Street,Kalamazoo,Kalamazoo,Michigan,49007,-85.57502,42.29596
1002454,112st Madison Avenue,,112th Madison Avenue,New York,New York,New York,10029,-73.9493,40.7939
1005586,12th & Brandywine Urban Farm Market,,12th & Brandywine Streets,Wilmington,New Castle,Delaware,19801,-75.534417,39.7421
1008071,14&U Farmers' Market,,1400 U Street NW,Washington,District of Columbia,District of Columbia,20009,-77.03205,38.916998
1007098,17 on the Square,,17 Lincoln Square,Gettysburg,Adams,Pennsylvania,17325,-77.2316,39.8313
1000059,175th Street Greenmarket,http://www.grownyc.org,W 175 St. & Broadway,New York,New York,New York,10033,-73.9385,40.8462
1003877,17th Ave Market,http://www.iatp.org/minimarkets,1622 6th St NE,Minneapolis,Hennepin,Minnesota,55413,-93.2591,45.0044
1002619,17th Street Farmers Market,http://www.17thstreetfarmersmarket.com,17th & Main Streets,Richmond,Henrico,Virginia,23219,-77.4886,37.5583
1000709,19th Annual Highlands Business Partnership Farmers Market,http://www.highlandsnj.com,71 Waterwitch Avenue,Highlands,Monmouth,New Jersey,7732,-73.994358,40.404837
1003233,2012 Wood County Farmers' Market,,555 W. Grand Ave.,Wisconsin Rapids,Wood,Wisconsin,54495,-89.83105,44.394902
1005309,22nd and Tasker Farmers' Market,http://www.foodtrustmarkets.org/markets.html,22nd and Tasker Streets,Philadelphia,Philadelphia,Pennsylvania,19146,-75.18142,39.93216
1006576,25th Avenue Farmers' Market,http://www.pcfma.com/market_home.php?market_id=40,194 W 25th Avenue,San Mateo,San Mateo,California,94403,-122.3098753,37.5433429
1005299,29th and Wharton Farmers' Market,http://www.foodtrustmarkets.org/graysferry.html,29th and Wharton Streets,Philadelphia,Philadelphia,Pennsylvania,19146,-75.19204,39.9373
1000380,2nd Street Public Market,http://www.secondstreetpublicmarket.com,2003 2nd Street,Tillamook,Tillamook,Oregon,97141,-123.844,45.4569
1004950,3 French Hens French Country Market,http://www.3frenchhensmarket.blogspot.com,123 W. Illinois ave.,Morris,Grundy,Illinois,60450,-88.425153,41.356286
1005636,32nd Street/Waverly Farmers Market,http://www.32ndstreetmarket.org,E. 32nd & Barclay Street,Baltimore,Baltimore,Maryland,21218,-76.611,39.3272
1005310,33rd and Diamond Farmers' Market,http://www.foodtrustmarkets.org/markets.html,N 33rd and Diamond Streets,Philadelphia,Philadelphia,Pennsylvania,19121,-75.18706,39.98867
1003161,38th & Meridian Farmers Market,,3808 North Meridian Street,Indianapolis,Marion,Indiana,46208,-86.15875,39.82604
1004414,3rd & Curry St. Farmers Market,http://www.carsonfarmersmarket.com,3rd & Curry Street,Carson City,Carson City,Nevada,89703,-119.7678,39.16257
1002860,3rd Street N (hwy 11) beside jack's Restaurant,,3rd St N (Hwy 11) beside Jack's Restaurant,Attalla,Etowah,Alabama,39554,-86.090988,34.019132
1006234,4th Street Farmers Market,http://www.4thstreetfarmersmarket.com,315 East 4th St.,Larimer,,Colorado,,-105.073,40.3954
1006494,52 & Shadeland Avenue Farmers Market,,5200 N. Shadeland Avenue,Indianapolis,,Indiana,46226,-86.0476,39.8481
1005304,52nd and Haverford Farmers' Market,http://www.foodtrustmarkets.org/markets.html,N 52nd Street and Haverford Avenue,Philadelphia,Philadelphia,Pennsylvania,19139,-75.22461,39.96498
1000060,57th Street Greenmarket,http://www.grownyc.org,W 57 St. & 9 Ave,New York,New York,New York,10019,-73.9858,40.7682
1005306,58th and Chester Farmers' Market,http://www.foodtrustmarkets.org/markets.html,58th Street and Chester Avenue,Philadelphia,Philadelphia,Pennsylvania,19143,-75.228324,39.935556
1007272,5th Street Farmers Market,,5th and Main Street,Millersburg,Bourbon,Kentucky,40348,-84.1487,38.3004
1002678,61st Street Farmers Market,http://www.experimentalstation.org/farmers-market,6100 S Blackstone,Chicago,Cook,Illinois,60637,-87.591308,41.784206
1004249,6701 Burnet Road Market,http://www.6701burnetroadmarket.com,6701 Burnet Road Market,Austin,Austin,Texas,78757,-97.7018,30.4258
1000061,79th Street Greenmarket,http://www.grownyc.org,Columbus - W 78 & 81 Sts.,New York,New York,New York,10024,-73.9757,40.7818
1000062,82nd Street Greenmarket,http://www.grownyc.org,E 82nd St. - 1st & York Ave,New York,New York,New York,10028,-73.9501,40.7737
1008391,84 west farmers market (Dothan),,,Dothan,Houston,Alabama,,-85.450141,31.232699
1001961,8th Avenue City Farmers Market,,8th Ave & 2nd St SE,Cedar Rapids,Linn,Iowa,52401,-91.6626534,41.972837
1000063,92nd Street Greenmarket,http://www.grownyc.org,1st Ave - E 92nd & 93 Sts.,New York,New York,New York,10128,-73.9464,40.7809
1000064,97th Street Greenmarket,http://www.grownyc.org,W 97 St. & Columbus,New York,New York,New York,10025,-73.967,40.7936
1001683,A Better Choice Bakery & Market,,27 W Potomac Street,Brunswick,Frederick,Maryland,21716,-77.6277075,39.313066
1002697,A Kentucky Farmer's Market LLC,,2349 S Hwy 127,Russell Springs,Russell,Kentucky,42642,-85.076795,37.032535
1007585,AAMC Farmers's Market,,"2001 Medical Parkway, Sajak Pavilion",Annapolis,Anne Arundel,Maryland,21401,-76.6123,39.006
1005547,Abacoa Town Center Green Market,,"East of Donald Ross Road, Exit off I-95",Jupiter,Palm Beach,Florida,33478,-80.1296,26.8838
1004573,Abbeville Farmers Market,,118 Trinity Street at Livery Stable,Abbeville,Abbeville,South Carolina,29620,-82.380242,34.177429
1006491,ABBEVILLE FARMERS MARKET,,100 COLUMBIA RD.,ABBEVILLE,HENRY,Alabama,36310,-85.2466,31.5633
1004598,Abbotsford Farmers Market,,1011 East Spruce St.,Abbotsford,Clark,Wisconsin,54405,-90.307145,44.945665
1003865,Abbott Northwestern Farmers Market,http://www.iatp.org/minimarkets,800 E 28th St,Minneapolis,Hennepin,Minnesota,,-93.2629,44.9556
1002947,Aberdeen Farmers Market,http://www.dakotaflavor.com/category.asp?catid=12,"2nd Ave., S.E. & S. Lincoln Street",Aberdeen,Brown,South Dakota,57401,-98.4866,45.4631
1004031,Abilene Farmers Market,,East 1st & Buckeye St.,Abilene,Dickinson,Kansas,67410,-97.2139,38.9153
1006744,Abingdon Farmers Market,http://www.abingdonfarmersmarket.com,Remsburg Drive and Cummings Street,Abingdon,Washington,Virginia,24210,-81.977406,36.708734
1000065,Abingdon Square Greenmarket,http://www.grownyc.org,W12 St. & 8th Ave,New York,New York,New York,10014,-74.0053,40.7372
1006988,Abington,http://www.abingtonsage.com,362 Plymouth Street,Abington,Plymouth,Massachusetts,2351,-70.9369,42.119
1007070,Abington Farmers Market,,12055 Rose Drove,Clarks Summit,Lackawanna,Pennsylvania,,-75.7746,41.425
1004762,ABQ Uptown Growers' Market,http://www.abquptowngrowersmarket.org,NE parking lot of ABQ Uptown shopping center,Albququerque,Bernalillo,New Mexico,,-106.565838,35.103988
1004763,ABQ Uptown Growers' Market,http://www.abquptowngrowersmarket.org,1200 Block of Central Ave NE,Albuquerque,Bernalillo,New Mexico,,-106.633172,35.082375
20001,ABV Farm Market,http://www.appleblossomvillage.com/,690 Allegheny Road,Mount Bethe,,Pennsylvania,18343,-75.0998,40.8743
1002108,Acadia Farmers' Market in Town Hill,,,Town Hill,Hancock,Maine,,-68.9716,44.5908
1007575,Acadiana Farmers Market,,801 Foreman Drive,Opelousas,Lafayette,Louisiana,70570,-92.0634,30.2147
1005122,Ace Farmers Market,,115 Black River Blvd,Rome,Oneida,New York,,-75.4541,43.2098
1008461,Acme Ranch Truck Patch,http://www.agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=1877,RR1 Box 146,Birch Tree,Shannon,Missouri,65438,-91.492638,36.991165
1003469,Acton-Boxborough Farmers Market,http://www.ABFarmersMarket.org,1 Pearl St,Acton,Middlesex,Massachusetts,1720,-71.47415,42.47518
1003112,Acushnet farmers market,http://www.stonebridgefarmevents.com,186 Leonard Street,Acushnet,Bristol,Massachusetts,2743,-70.8999,41.7199
1007519,Acworth Farmers Market,,Main and Lemon Streets,Acworth,Cobb,Georgia,,-84.6767,34.0657
1001393,Ada Farmer's Market,,12th Street and Townsend,Ada,Pontotoc,Oklahoma,74820,-96.6797,34.7739
1001083,Ada Farmers' Market,http://www.adafarmersmarket.com,7239 Thornapple River Dr.,Ada,Kent,Michigan,49301,-85.4889683,42.9553715
1006969,AdairCo Farmers Market,,"409 Fairground Street, Adair County co-op ext service parking lot",Columbia,Adair County,Kentucky,,-85.297,37.1043
1005790,Adams County Farmers' Market Association,http://www.acfarmersmarkets.org,Gettysburg Recreation Park 545 Long Lane,Gettysburg,Adams,Pennsylvania,17325,-77.237298,39.825018
1008775,Adams County Farmers' Market Association,http://www.acfarmersmarkets.org,1863 Gettysburg Village Drive,Gettysburg,Adams,Pennsylvania,17325,-77.200397,39.793778
1007597,Adams Farmers Market,,60 Columbia Street,Adams,,Massachusetts,1220,-73.1158,42.6293
1008006,Adams Morgan Farmers Market,http://www.lickingcreekbendfarm.com,18th St. and Columbia Rd. NW,Washington,District of Columbia,District of Columbia,20009,-77.0426,38.9226
1005109,Added Value Farm Stand at Governors Island,,Gresham Rd,Brooklyn,Kings,New York,11231-1235,-74.0231,40.6875
1002464,Addison Farmers Market,,One Friendship Plaza,Addison,DuPage,Illinois,60101,-87.9934,41.9321
1005741,Adel Farmers Market,,Courthouse Square,Adel,Dallas,Iowa,50830,-94.0175,41.6144
1005272,Adelanto Stadium Farmers Market,,Hwy 395 & Rancho Drive,Victorville,San Bernardino,California,92392,-117.405,34.5593
20002,Adrian Farmers Market,,115 Toledo Street,Adrian,,Michigan,49221,-84.0351,41.9002
1008667,Afton Village Farmers Market,http://www.piedmont-farmersmarket.com,5401 Village Dr,Concord,Cabarrus,North Carolina,28027,-80.670172,35.414038
1007586,AGH Wellness Committee Farmer's Market,,9733 Healthway Drive,Berlin,Worcester,Maryland,21811,-75.2113,38.3388
1003178,Agricenter International Farmers Market,http://www.agricenter.org,7777 Walnut Grove Road,Memphis,Shelby,Tennessee,38120,-89.801873,35.127315
1003562,Agritopia Farm Stand,http://www.agritopia.com,3000 E. Ray Road (Higley & Ray),Gilbert,Maricopa,Arizona,85233,-111.726,33.3219
1001561,Ahwatukee Farmers' Market,http://www.arizonafarmersmarkets.com,4700 E. Warner Rd.,Phoenix,Maricopa,Arizona,85044,-111.983133,33.331186
1000212,Aiken County Farmers Market,http://www.VisitAikenSC.com,897 Richland Avenue East,Aiken,Aiken,South Carolina,29801,-81.7084941,33.5568819
1008575,Airport District Collaborative Certified Farmers' Market,,805 Empire Ave,Modesto,Stanislaus,California,95354,-120.968681,37.626471
1008054,Airport Farmers and Flea Market,http://www.facebook.com/pages/Airport-Farmers-and-Flea-Market/212219902247327,17375 Spring Hill Dr,Brooksville,Hernando,Florida,34604,-82.441117,28.48114
1007542,Akebono Farmers’ Market,,Akebono Parking Lot,Pahoa,Hawaii County,Hawaii,,-154.951,19.4975
1001374,Akers of Strawberries,,1054 Melton Rd.,Baker,Okaloosa,Florida,32531,-86.7014,30.7979
1001801,Akron Farmers Market,,City Park,Akron,Plymouth,Iowa,51031,-96.5573,42.8309
1005061,Akwesasne Farmers Market,,"469 State Route 37, across from Akwesasne Sports",Hogansburg,Franklin,New York,,-74.6677,44.9739
1002217,Ala Moana Farmers' Market,http://www.alamoanafarmersmarket.com,1450 Ala Moana Blvd,Honolulu,Honolulu,Hawaii,96814,-157.84505,21.291364
1008612,Alachua County Farmers' Market,http://www.441market.com,5920 NW 13th Street,Gainesville,Alachua,Florida,32653,-82.352515,29.710665
1006312,Alamance County Farmers Market,,200 S. Main St.,Burlington,Alamance,North Carolina,27215,-79.4357,36.0943
20003,Alameda Farmers' Market,http://www.pcfma.com,Haight Street at Webster,Alameda,,California,94502,-122.277,37.7742
1004846,Alamo Farmers Market,,Buckhorn Ranch Road,Alamo,Lincoln,Nevada,89001,-115.1435,37.33075
1004801,Alamogordo Alameda Park Farmers' Market,,1987 White Sands Blvd,Alamogordo,Otero,New Mexico,,-105.9606168,32.9126233
1004789,Alamogordo Otero County Farmers' Market,,401 Fairgrounds Rd,Alamogordo,Otero,New Mexico,,-105.9606,32.92649
1004070,Alamosa Farmers Market,http://www.alamosafarmersmarket.org,Main and State Streets Municipal Parking Lot,Alamosa,Alamosa,Colorado,81101,-105.864687,37.467893
1004425,Albany Downtown Farmers Market,http://www.eastbaker.net,Corner of W. Broad Ave. & N. Jackson St.,Albany,Dougherty,Georgia,31702,-84.15366,31.57684
1002175,Albany Farmers' Market,http://www.locallygrown.org,4th Avenue & Ellsworth Street,Albany,Linn,Oregon,97321,-123.105896,44.634984
1005063,Albert Lea Farmers Market,http://www.albertleafarmersmarket.com,147 N. Broadway Ave,Albert Lea,Freeborn,Minnesota,56007,-93.369112,43.650982
1003118,Alberta Farmers Market,,1500 NE Alberta Street,Portland,Multnomah,Oregon,97211,-122.65,45.5591
1004886,ALBERTA FARMERS MARKET,,21724 Highway 5 ,ALBERTA,WILCOX,Alabama,36720,-87.4101,32.2319
1003007,Albion Farmers Market,,Main Street,Albion,Calhoun,Michigan,49224,-85.4148,41.3959
1004766,Albuquerque Downtown Growers' Market,http://www.downtownabq.com/growersmarket,8th & Central NE,Albuquerque,Bernalillo,New Mexico,,-106.656754,35.085834
1004761,Albuquerque Northeast Farmers' & Artisans' Market,http://www.abqnemarket.org,6400 Wyoming Blvd,Albuquerque,Bernalillo,New Mexico,,-106.55762,35.1506
1007016,Albuquerque VA Growers' Market,,1501 San Pedro Drive SE,Albuquerque,Bernalillo,New Mexico,,-106.578,35.0553
1002222,Alcona Farmers Market,http://www.alconalocalfoods.org,320 S. State Steet (US23),Harrisville,Alcona,Michigan,48740,-83.2973,44.6547
1008252,Alderson Farmers Market,http://www.aldersonmarket.org,Rt. 3 Main Street,Alderson,Greenbrier,West Virginia,24910,-80.642024,37.725954
1003236,Aldrich Arena Farmers Market,http://www.stpaulfarmersmarket.com,1850 White Bear Ave.,Maplewood,Ramsey,Minnesota,55109,-93.0877,44.9609
1007238,Alexander City Downtown Market,http://www.mainstreetac.org,Braod Street,Alexander City,Tallapoosa,Alabama,35010,-85.9549,32.9442
1000519,Alexandria Bay Farmers Market,,Route 12,Alexandria Bay,Jefferson,New York,13607,-75.9157,44.3314
1002159,Alexandria Farmers Market,http://www.alexandriava.gov/market/farmersmarket.html,"301 King St., Market Square",Alexandria,Alexandria,Virginia,22314,-77.043,38.8048
1007366,Alexandria Farmers' Market,http://www.mfma.org/alexandria,2nd and Broadway,Alexandria,Douglas,Minnesota,56308,-95.376724,45.890763
1008414,alfred farmers market,http://www.alfredfarmersmarket.com/,Viliage bandstand on Main,alfred,Allegany,New York,14802,-77.790122,42.253728
1007217,Algoma Farm Market,,SECOND ST. & CLARK STREET,Algoma,Kewaunee,Wisconsin,,-87.4363,44.6077
1001300,Algonquin Farmers Market,,Washington St & S Harrison St.,Algonquin,,Illinois,60102,-88.293,42.165
1001501,Alhambra Farmers Market,http://www.farmernet.com,Monterey & East Bay State Sts.,Alhambra,Los Angeles,California,91801,-118.123,34.094
1007528,Alii Garden Market Place,,75-6129 Alii Drive,Kailua-Kona,,Hawaii,96740,-155.982,19.6144
1008835,Alisal Certified Farmers' Market,http://www.everyonesharvest.org,632 East Alisal Street,Salinas,Monterey,California,93905,-121.634203,36.673352
1005548,All Locally Grown Produce,http://www.teenaspridecsa.com,20025 SW 270 Street,Homestead,Miami-Dade,Florida,33031,-80.516728,25.513552
1000268,All-Local Farmers Market,http://www.stateplate.org,711 Whaley St,Columbia,Richland,South Carolina,29205,-81.0358,33.9847
1000168,All-Local Farmers Market 2,http://www.localharvest.org,Rosewood market on Rosewood Drive at Maple Street,Columbia,Richland,South Carolina,,-81.0044,33.9874
1001962,Allamakee Farmers Market,,1013 Rossville Road,Waukon,Allamakee,Iowa,52172,-91.4742,43.2569
1002717,Allegan Farmers Market,,Water & Cutler,Allegan,Allegan,Michigan,49010,-85.8584,42.5287
1008262,Alleghany Farmers Market,http://www.alleghanyfarmersmarket.com,HWY 18 N,Sparta,Alleghany,North Carolina,28675,-81.122593,36.503003
1002836,Allen County Farmers' Market,,4-20 S. Washington St.,Iola,Allen,Kansas,66749,-95.4055011,37.922165
1008454,Allen Street Farmers Market,http://www.allenneighborhoodcenter.org/food/market,1619 E. Kalamazoo,Lansing,Ingham,Michigan,48912,-84.526307,42.729961
1007413,Allendale County Farmers Market,,Corner of Bay Street & US Highway 301,Allendale,Allendale,South Carolina,29810,-81.3191,33.0044
1007716,Allentown Farigrounds Farmers Market,http://www.fairgroundsfarmersmkt.com,1825 Chew Street,Allentown,Lehigh,Pennsylvania,18104,-75.4942,40.6008
1007083,Allentown Turnpike Plaza Farmers Market,,Route 9,Allentown,Lehigh,Pennsylvania,18104,-75.490183,40.608431
1002964,Alliance Farmers Market,,3rd & Box Butte Ave.,Alliance,Box Butte,Nebraska,69301,-102.871,42.0971
1005675,Alliance Farmers' Market,http://www.alliancefarmersmarket.com,Corner of E. Main St. and Mechanic Ave.,Alliance,Stark,Ohio,44601,-81.1024,40.9216
1006739,Alliance for the Arts GreenMarket,http://www.artinlee.org,10091 McGregor Boulevard,Ft. Myers,Lee,Florida,33919,-81.89128,26.59521
1002683,Allston Farmers' Market,http://www.dining.harvard.edu/flp/ag_market.html,175 North Harvard Street,Allston,Middlesex,Massachusetts,2134,-71.1299,42.3629
1005134,Allston Village Farmers Market,http://www.allstonbrightoncdc.org/,500 Cambridge St.,Boston,Suffolk,Massachusetts,2134,-71.1378418,42.353384
1006816,Alma Farmers Market,,"City Auditorium on Main Street, Downtown",Alma,Harlan,Nebraska,68920,-99.3625,40.1008
1002250,Alma Farmers' Market,,Pine & Downie Streets,Alma,Gratiot,Michigan,48801,-84.656984,43.38027
1007836,Almont Farmers' Market,http://www.almontfarmersmarket.com,Van Dyke at School Street (northwest corner),Almont,Lapeer County,Michigan,,-83.0475,42.9216
1006235,Aloha Farmers Market,http://www.alohafarmersmarket.com,18631 SW Tualatin Valley Hw,Aloha,Washington,Oregon,97007,-122.87,45.4941
1004894,Alpena Farmers' Market,http://www.alpenafarmersmarket.org,208 N. First Street,Alpena,Alpena,Michigan,49707,-83.429897,45.061184
1005447,Alpha Nursery Farmers' Market,http://www.alpha-nursery.com,"12 Alpha Lane,",Cascade,Valley,Idaho,83611,-115.998,44.4251
1000735,ALPHARETTA FARMERS MARKET,http://www.alpharettafarmersmarket.com,OLD CANTON STREET,ALPHARETTA,Fulton,Georgia,30009,-84.29514,34.075892
1007633,Alpine Flowerland Farmers' Market,,3801 Alpine Ave NW,Comstock Park,Kent,Michigan,49321,-85.4386,44.3365
1005987,Alsip Farmers Market,http://www.merrillsmarkets.com,12600 Kedzie Ave.,Alsip,Cook,Illinois,60803,-87.700424,41.665699
1003276,Altadena Farmers' Market,http://www.altadenafarmersmarket.com,600 W Palm Ave,Altadena,Los Angeles,California,91001,-118.15813,34.200379
1004383,Altamont Farmer's Market,,Main Street & Maple Avenue,Altamont,Albany,New York,12009,-74.0325,42.7013
